0x0010,2,Revision
0x0048,2,ServoEnable
0x0084,4,Random
0x0080,4,TripTime
0x0090,2,Voltage
0x017c,4,ErrorAdr
0x01fb,1,ExecCtrl
0x0b42,1,TBuffN
0x0b43,1,IPBusy
0x0b44,1,IPReset
0x0C00,2,PosSld000
0x0C02,2,PosSld001
0x0C04,2,PosSld002
0x0C06,2,PosSld003
0x0C08,2,PosSld004
0x0C0A,2,PosSld005
0x0C0C,2,PosSld006
0x0C0E,2,PosSld007
0x0C10,2,PosSld008
0x0C12,2,PosSld009
0x0C14,2,PosSld010
0x0C16,2,PosSld011
0x0C18,2,PosSld012
0x0C1A,2,PosSld013
0x0C1C,2,PosSld014
0x0C1E,2,PosSld015
0x0C20,2,PosSld016
0x0C22,2,PosSld017
0x0C24,2,PosSld018
0x0C26,2,PosSld019
0x0C28,2,PosSld020
0x0C2A,2,PosSld021
0x0C2C,2,PosSld022
0x0C2E,2,PosSld023
0x0C30,2,PosSld024
0x0C32,2,PosSld025
0x0C34,2,PosSld026
0x0C36,2,PosSld027
0x0C38,2,PosSld028
0x0C3A,2,PosSld029
0x0C3C,2,PosSld030
0x0C3E,2,PosSld031
0x0C40,2,PosSld032
0x0C42,2,PosSld033
0x0C44,2,PosSld034
0x0C46,2,PosSld035
0x0C48,2,PosSld036
0x0C4A,2,PosSld037
0x0C4C,2,PosSld038
0x0C4E,2,PosSld039
0x0C50,2,PosSld040
0x0C52,2,PosSld041
0x0C54,2,PosSld042
0x0C56,2,PosSld043
0x0C58,2,PosSld044
0x0C5A,2,PosSld045
0x0C5C,2,PosSld046
0x0C5E,2,PosSld047
0x0C60,2,PosSld048
0x0C62,2,PosSld049
0x0C64,2,PosSld050
0x0C66,2,PosSld051
0x0C68,2,PosSld052
0x0C6A,2,PosSld053
0x0C6C,2,PosSld054
0x0C6E,2,PosSld055
0x0C70,2,PosSld056
0x0C72,2,PosSld057
0x0C74,2,PosSld058
0x0C76,2,PosSld059
0x0C78,2,PosSld060
0x0C7A,2,PosSld061
0x0C7C,2,PosSld062
0x0C7E,2,PosSld063
0x0C80,2,PosSld064
0x0C82,2,PosSld065
0x0C84,2,PosSld066
0x0C86,2,PosSld067
0x0C88,2,PosSld068
0x0C8A,2,PosSld069
0x0C8C,2,PosSld070
0x0C8E,2,PosSld071
0x0C90,2,PosSld072
0x0C92,2,PosSld073
0x0C94,2,PosSld074
0x0C96,2,PosSld075
0x0C98,2,PosSld076
0x0C9A,2,PosSld077
0x0C9C,2,PosSld078
0x0C9E,2,PosSld079
0x0CA0,2,PosSld080
0x0CA2,2,PosSld081
0x0CA4,2,PosSld082
0x0CA6,2,PosSld083
0x0CA8,2,PosSld084
0x0CAA,2,PosSld085
0x0CAC,2,PosSld086
0x0CAE,2,PosSld087
0x0CB0,2,PosSld088
0x0CB2,2,PosSld089
0x0CB4,2,PosSld090
0x0CB6,2,PosSld091
0x0CB8,2,PosSld092
0x0CBA,2,PosSld093
0x0CBC,2,PosSld094
0x0CBE,2,PosSld095
0x0CC0,2,PosSld096
0x0CC2,2,PosSld097
0x0CC4,2,PosSld098
0x0CC6,2,PosSld099
0x0CC8,2,PosSld100
0x0CCA,2,PosSld101
0x0CCC,2,PosSld102
0x0CCE,2,PosSld103
